crop,rainfall,temperature,area,yield
Potato,443.7,11.8,3.09,48.81
Cotton,532.8,22.3,4.41,8.7
Sugarcane,1382.6,34.4,10.25,402.56
Wheat,330.1,17.0,1.72,6.82
Sugarcane,1055.0,32.8,8.47,396.67
Cotton,915.8,24.1,4.85,10.24
Sugarcane,1595.3,37.9,7.75,307.44
Maize,1149.3,20.9,2.26,7.43
Sugarcane,1110.8,30.3,9.53,565.01
Potato,727.5,14.1,0.75,11.9
Soybean,777.3,16.7,6.55,16.97
Maize,785.9,19.1,6.93,37.28
Wheat,641.0,18.6,6.72,22.2
Soybean,666.2,16.2,7.28,17.19
Cotton,697.4,22.8,4.21,10.79
Sugarcane,1611.3,28.2,11.14,607.32
Potato,566.0,21.2,3.42,72.38
Tomato,456.5,22.3,3.2,132.62
Cotton,734.4,23.5,6.81,9.61
Cotton,851.3,33.5,6.92,10.97
Rice,1262.0,33.7,7.24,37.71
Cotton,908.0,27.8,8.87,17.18
Soybean,570.2,24.9,2.19,6.28
Potato,612.0,10.7,3.61,86.21
Sugarcane,1018.5,31.6,6.01,397.55
Maize,1185.9,18.4,1.84,4.33
Rice,1930.3,34.6,4.2,17.69
Rice,1832.9,29.7,0.55,2.69
Wheat,808.2,13.6,1.54,6.4
Wheat,447.2,16.6,7.37,21.6
Potato,525.0,14.0,1.08,21.39
Soybean,580.5,27.6,1.32,4.22
Wheat,787.9,24.6,6.92,15.37
Potato,712.5,12.1,4.23,123.06
Tomato,655.9,27.8,1.02,38.59
Rice,956.0,24.7,1.86,6.86
Maize,816.5,20.4,4.63,30.42
Maize,677.2,24.5,7.67,48.16
Rice,1000.9,31.4,2.58,11.37
Tomato,501.7,20.4,0.54,25.16
Soybean,754.3,15.0,0.96,1.89
Soybean,654.9,23.1,2.38,8.33
Sugarcane,1516.9,27.1,4.64,202.8
Wheat,353.2,17.4,5.52,16.52
Potato,725.2,10.2,4.93,95.3
Soybean,494.3,29.1,6.23,10.56
Soybean,850.6,20.0,3.3,6.15
Potato,552.2,11.5,1.15,28.91
Sugarcane,1390.9,25.2,8.89,565.33
Tomato,508.0,20.9,0.73,34.92
Tomato,699.7,25.2,2.83,41.8
Maize,712.2,28.1,1.2,6.07
Potato,483.6,12.9,2.79,53.5
Sugarcane,1331.2,29.5,1.8,101.26
Cotton,583.2,23.7,6.25,11.06
Rice,1759.7,26.1,4.16,11.15
Maize,727.8,20.0,6.35,18.35
Sugarcane,1247.2,27.6,11.22,484.92
Maize,1160.2,21.8,0.96,2.37
Wheat,766.8,23.4,5.75,20.82
Wheat,565.8,22.1,0.65,2.55
Potato,789.0,19.4,2.55,70.01
Soybean,599.7,15.7,0.71,1.47
Cotton,872.7,24.6,7.35,9.31
Sugarcane,1791.3,24.3,5.29,222.53
Soybean,706.6,28.0,1.7,4.09
Potato,491.3,13.5,3.57,108.43
Maize,948.0,28.2,5.19,31.96
Tomato,684.6,27.3,2.37,41.92
Cotton,984.8,31.0,7.55,19.58
Rice,1995.9,20.8,9.08,30.99
Wheat,466.4,22.4,5.11,20.27
Soybean,629.5,17.7,0.71,2.02
Tomato,553.4,25.1,3.65,145.26
Sugarcane,1474.6,25.2,13.3,486.45
Soybean,859.7,26.6,7.23,16.85
Cotton,952.9,24.1,2.34,7.04
Sugarcane,1222.4,33.2,3.71,250.35
Tomato,448.9,24.9,3.72,148.31
Cotton,855.1,23.7,4.79,9.39
Maize,540.3,25.1,3.17,8.13
Rice,1008.9,30.1,9.91,30.1
Sugarcane,1000.4,24.6,8.73,467.44
Wheat,326.3,22.7,0.97,3.11
Wheat,497.3,24.5,0.65,1.84
Tomato,617.4,20.8,1.44,44.78
Potato,525.8,10.3,4.81,78.49
Cotton,615.4,28.3,6.49,19.4
Soybean,651.0,23.4,3.33,5.22
Soybean,551.4,21.8,1.12,3.12
Sugarcane,1223.5,28.4,13.09,558.05
Rice,1159.3,33.1,4.87,16.35
Wheat,773.4,11.7,3.87,9.96
Soybean,641.5,24.5,7.63,21.87
Tomato,584.8,26.5,1.47,65.09
Sugarcane,1310.9,27.7,14.92,1054.72
Potato,760.4,17.3,3.94,56.44
Potato,716.5,18.0,1.78,33.15
Tomato,433.0,26.5,1.91,35.73
Wheat,804.7,21.2,2.92,9.5
Soybean,749.1,23.1,4.13,6.76
Tomato,613.7,26.6,0.99,51.87
Maize,873.0,30.8,1.95,8.44
Rice,1897.4,30.2,3.87,15.81
Maize,857.5,20.6,1.43,4.1
Soybean,716.6,18.4,6.53,13.09
Potato,726.3,18.9,1.3,44.69
Rice,995.8,28.1,8.04,25.18
Rice,1291.0,24.6,1.2,5.16
Sugarcane,1114.9,26.5,6.68,226.35
Potato,547.5,16.4,2.41,88.35
Tomato,465.9,18.4,2.78,60.77
Rice,1392.0,25.6,9.08,42.27
Wheat,514.8,11.7,2.0,6.93
Potato,758.5,11.9,0.84,12.28
Tomato,697.5,20.7,3.53,169.27
Tomato,477.4,25.6,3.28,78.35
Potato,483.7,21.7,3.7,107.92
Tomato,424.2,27.0,0.45,12.53
Cotton,753.1,22.6,5.58,14.61
Maize,1124.0,22.7,0.84,3.62
Rice,1276.7,25.9,2.69,12.05
Wheat,602.2,12.1,5.18,17.17
Sugarcane,1458.1,33.6,14.99,591.52
Cotton,902.6,25.2,2.76,4.89
Cotton,593.4,28.7,6.91,15.21
Cotton,571.7,31.4,7.51,7.99
Soybean,680.2,15.5,6.47,15.28
Potato,680.2,19.1,0.48,11.7
Cotton,668.3,31.6,3.52,3.35
Maize,632.7,26.4,2.02,6.73
Maize,1051.8,21.3,2.95,16.72
Maize,1147.1,19.5,3.93,14.01
Cotton,956.2,22.2,3.74,6.04
Wheat,868.8,21.0,6.99,23.6
Sugarcane,1295.0,34.6,13.42,884.25
Rice,1498.2,21.3,3.31,11.87
Maize,890.2,21.5,7.85,51.38
Soybean,768.6,21.9,5.94,14.17
Maize,782.2,21.3,3.55,14.6
Sugarcane,1288.8,24.8,5.33,249.44
Rice,1595.7,32.6,1.14,3.74
Sugarcane,1563.2,37.2,13.7,905.14
Potato,444.0,14.1,2.01,38.97
Sugarcane,1239.9,27.5,5.58,368.11
Sugarcane,1793.7,31.0,5.61,381.94
Soybean,589.5,17.5,7.33,13.38
Cotton,631.9,29.2,5.84,15.21
Soybean,677.5,16.2,5.38,7.23
Potato,548.5,14.9,0.47,12.51
Tomato,647.7,20.2,1.27,23.62
Tomato,602.0,26.4,2.58,68.66
Wheat,597.8,14.3,11.9,55.43
Cotton,611.9,22.6,7.96,13.64
Rice,1551.8,31.5,2.74,10.59
